Turma,Aluno,NP,NV,Período
2018101,20183000670,8,"3,7",1
2018101,20183000910,10,0,1
2018101,20183000948,10,0,1
2018101,20183001014,"9,5",10,1
2018101,20183001050,10,"9,9",1
2018101,20183001103,10,"2,6",1
2018101,20183001631,0,"4,9",1
2018101,20183001829,"8,7",10,1
2018101,20183002058,10,"3,7",1
2018101,20183002254,"7,3","7,5",1
2018101,20183000509,"9,9","5,8",1
2018101,20183002559,0,"6,5",1
2018101,20183002639,0,0,1
2018101,20183002853,10,"5,8",1
2018101,20183002998,10,"8,4",1
2018101,20183003206,10,"2,2",1
2018101,20183003313,10,"8,5",1
2018101,20183004034,"9,3","1,4",1
2018101,20183004197,0,0,1
2018101,20183004240,"8,5","3,1",1
2018101,20183004553,10,"6,2",1
2018101,20183004811,10,"3,2",1
2018101,20183004894,10,"2,5",1
2018101,20183004929,10,10,1
2018101,20183005425,0,3,1
2018101,20183005748,0,8,1
2018101,20183005793,9,"5,5",1
2018101,20183006020,10,"8,5",1
2018101,20183006226,10,"0,5",1
2018101,20183006398,10,2,1
2018101,20183007027,"9,5",4,1
2018101,20183007116,10,"2,1",1
2018101,20183007340,10,"3,4",1
2018101,20183007500,10,"7,4",1
2018101,20183011549,0,2,1
2018101,20183014021,10,0,1
2018101,20183015790,"9,8",3,1
2018101,20183016376,"5,8","8,6",1
2018101,20183019627,9,"8,7",1
2018102,20183000723,"9,9","6,2",1
2018102,20183000741,"9,9",10,1
2018102,20183000803,"9,9","8,3",1
2018102,20183000886,"9,1","5,6",1
2018102,20183000895,"9,8","4,2",1
2018102,20183000984,"9,6",9,1
2018102,20183001140,0,"4,5",1
2018102,20183001168,"9,7","7,9",1
2018102,20183001346,0,"4,4",1
2018102,20183001453,10,"7,4",1
2018102,20183002423,"3,3","9,9",1
2018102,20183002871,"9,9",10,1
2018102,20183003289,9,"4,7",1
2018102,20183003304,10,10,1
2018102,20183003467,"9,3","1,2",1
2018102,20183004114,"8,6","8,9",1
2018102,20183004571,"9,9",0,1
2018102,20183000545,"9,6","0,7",1
2018102,20183004885,"9,8",8,1
2018102,20183005354,"7,9","3,8",1
2018102,20183005882,0,0,1
2018102,20183006039,0,"3,6",1
2018102,20183006084,"7,9","5,9",1
2018102,20183006360,0,0,1
2018102,20183000572,"9,8","9,6",1
2018102,20183006440,0,0,1
2018102,20183006594,0,0,1
2018102,20183006997,10,"8,2",1
2018102,20183007009,"7,4","6,2",1
2018102,20183007107,10,10,1
2018102,20183007546,"9,9","9,2",1
2018102,20183007555,0,2,1
2018102,20183007760,0,0,1
2018102,20183012484,0,"2,6",1
2018102,20183014219,"6,6","0,6",1
2018102,20183014246,0,"0,7",1
2018102,20183018586,0,"1,8",1
2018102,20183018639,10,"8,3",1
2018102,20183019242,0,0,1
2018103,20183000750,0,0,1
2018103,20183000840,0,"7,6",1
2018103,20183001524,10,"5,9",1
2018103,20183001613,10,"6,9",1
2018103,20183001678,9,"7,6",1
2018103,20183002020,8,10,1
2018103,20183002764,"9,3","4,3",1
2018103,20183002862,"9,7",9,1
2018103,20183003144,"9,8","7,6",1
2018103,20183003233,0,"7,9",1
2018103,20183003420,10,"9,8",1
2018103,20183004052,"9,2","2,5",1
2018103,20183004105,"6,2",2,1
2018103,20183004203,0,0,1
2018103,20183004590,"7,5","2,9",1
2018103,20183004983,9,"5,9",1
2018103,20183005167,"8,7","9,8",1
2018103,20183005720,9,"1,6",1
2018103,20183005917,"9,5","6,2",1
2018103,20183006010,0,0,1
2018103,20183006244,9,"5,2",1
2018103,20183006404,"8,6","8,3",1
2018103,20183006585,9,"8,1",1
2018103,20183007018,0,0,1
2018103,20183000536,10,"5,2",1
2018103,20183007250,"9,2","8,9",1
2018103,20183007466,"8,2","0,2",1
2018103,20183008605,10,"4,4",1
2018103,20183009059,"8,8","3,3",1
2018103,20183009326,10,"3,8",1
2018103,20183009498,10,"5,2",1
2018103,20183010345,10,"6,9",1
2018103,20183012690,10,"6,5",1
2018103,20183014925,"9,5",10,1
2018103,20183017847,9,"8,7",1
2018103,20183020726,"9,2","3,5",1
2018104,20183001079,10,"8,6",1
2018104,20183001435,0,0,1
2018104,20183001570,"8,8","2,2",1
2018104,20183001696,0,"7,5",1
2018104,20183001758,0,0,1
2018104,20183001838,10,4,1
2018104,20183002002,0,"0,5",1
2018104,20183002011,"7,8","6,6",1
2018104,20183002100,"9,5","2,4",1
2018104,20183002165,0,"6,5",1
2018104,20183002450,8,"9,6",1
2018104,20183003387,"9,3","5,3",1
2018104,20183003921,"9,3",10,1
2018104,20183004221,10,"4,2",1
2018104,20183004393,10,"4,7",1
2018104,20183004491,"9,8",10,1
2018104,20183004517,"9,9","8,1",1
2018104,20183004974,"9,9","1,5",1
2018104,20183005200,"2,4","1,5",1
2018104,20183005238,0,0,1
2018104,20183005523,10,"8,3",1
2018104,20183005603,0,0,1
2018104,20183005686,"8,6",9,1
2018104,20183005962,0,2,1
2018104,20183005990,0,0,1
2018104,20183006502,"5,4","4,6",1
2018104,20183006638,"9,6","3,2",1
2018104,20183006763,"9,5","6,4",1
2018104,20183007063,"9,4",10,1
2018104,20183007297,9,"5,9",1
2018104,20183007368,"9,4","9,6",1
2018104,20183007401,10,"6,6",1
2018104,20183007537,0,0,1
2018104,20183008857,"9,1","7,2",1
2018104,20183011638,"9,4","7,7",1
2018104,20183013196,"9,1","9,5",1
2018104,20183014747,0,8,1
2018104,20183016803,"6,4","9,6",1
2018110,20183000812,0,2,1
2018110,20183000939,0,2,1
2018110,20183001032,10,0,1
2018110,20183001060,10,"7,6",1
2018110,20183001275,10,"4,4",1
2018110,20183001284,10,"8,8",1
2018110,20183001337,10,"7,2",1
2018110,20183001391,0,0,1
2018110,20183001551,10,"2,2",1
2018110,20183001669,"9,2","4,6",1
2018110,20183001909,"8,3","9,1",1
2018110,20183002183,10,"6,6",1
2018110,20183002218,0,0,1
2018110,20183002380,"9,5",10,1
2018110,20183002610,10,2,1
2018110,20183002906,10,"5,8",1
2018110,20183002960,--,--,1
2018110,20183003968,10,9,1
2018110,20183003986,"7,1",2,1
2018110,20183004259,"9,2","2,4",1
2018110,20183004286,10,"6,3",1
2018110,20183004320,10,"1,1",1
2018110,20183004526,10,"5,2",1
2018110,20183004535,10,10,1
2018110,20183004580,0,0,1
2018110,20183005130,10,0,1
2018110,20183005292,10,"3,5",1
2018110,20183005363,0,0,1
2018110,20183005588,10,"1,5",1
2018110,20183006431,"4,5",10,1
2018110,20183006825,"9,6",8,1
2018110,20183006988,10,"3,8",1
2018110,20183007072,0,0,1
2018110,20183007279,7,"8,9",1
2018110,20183008104,10,"0,2",1
2018110,20183017041,10,"7,6",1
2018110,20183000581,10,10,1
2018110,20183000438,0,0,1
2018110,20183000492,"7,2","7,4",1
2018110,20183000465,9,"8,2",1
2018130,20183000616,8,3,1
2018130,20183000643,"8,6","5,2",1
2018130,20183000652,"9,1",8,1
2018130,20183001293,"9,9","6,6",1
2018130,20183001767,"8,5","5,2",1
2018130,20183001865,--,--,1
2018130,20183001883,10,0,1
2018130,20183001918,9,3,1
2018130,20183002915,9,"9,5",1
2018130,20183003091,"9,5","2,3",1
2018130,20183003331,10,"5,5",1
2018130,20183003449,0,"3,1",1
2018130,20183003510,10,"6,8",1
2018130,20183003940,"9,5","1,6",1
